operation,property_type,place_with_parent_names,lat-lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url
sell,apartment,|Gustavo A. Madero|Distrito Federal|México|,"19.5010872,-99.1230477",2715592.0,MXN,2691025.94,143074.99,0.0,,,,,,,http://lindavista-norte.properati.com.mx/qygs_venta_departamento_lindavista-norte_co83-inmobiliaria-constructora
sell,house,|Benito Juárez|Quintana Roo|México|,"21.161908,-86.8515279",5050000.0,MXN,5005502.9,266129.83,400.0,338.0,665.3245750000001,14940.828402366864,2.0,,,http://cancun.properati.com.mx/d0mg_venta_casa_cancun
sell,store,|Gustavo A. Madero|Distrito Federal|México|,,9500000.0,MXN,9416292.89,500640.29,340.0,1050.0,1472.4714411764703,9047.619047619048,,,,http://gustavo-a-madero.properati.com.mx/i3tn_venta_local_gustavo-a-madero
sell,house,|Benito Juárez|Quintana Roo|México|,"21.141616,-86.86109",810000.0,MXN,802672.48,42676.05,92.0,78.0,463.8701086956522,10384.615384615385,,,,http://cancun.properati.com.mx/qr5j_venta_casa_cancun_bienestar-cancun
sell,apartment,|Iztapalapa|Distrito Federal|México|,"19.3603443968,-99.089448452",500000.0,MXN,495476.82,26343.24,48.0,,548.8175,,,2.0,,http://san-pablo.properati.com.mx/9e3n_venta_departamentos_iztapalapa
sell,house,|Cuauhtémoc|Distrito Federal|México|,"19.461417,-99.1331631",11000000.0,MXN,10903075.85,579688.75,1005.0,446.0,576.8047263681592,24663.67713004484,,,,http://cuauhtemoc.properati.com.mx/ilsw_venta_casa_cuauhtemoc
sell,apartment,|Iztacalco|Distrito Federal|México|,"19.40135,-99.114726",556422.0,MXN,551388.29,29315.91,,65.0,,8560.338461538462,,,,http://iztacalco.properati.com.mx/p9de_venta_departamento_iztacalco_colica_0_ricardo-bahena-leyte
sell,apartment,|Miguel Hidalgo|Distrito Federal|México|,"19.45756,-99.194748",850000.0,MXN,842310.64,44783.51,,45.0,,18888.88888888889,,,,http://miguel-hidalgo-df.properati.com.mx/pijc_venta_departamento_miguel-hidalgo_inventario-inmobiliario-5
sell,apartment,|Cuauhtémoc|Distrito Federal|México|,"19.458118,-99.125557",919232.0,MXN,910916.34,48431.1,,45.0,,20427.37777777778,,,,http://cuauhtemoc.properati.com.mx/p1c2_venta_departamento_cuauhtemoc_inventario-inmobiliario-8
sell,apartment,|Tláhuac|Distrito Federal|México|,"19.2834131562,-99.0550598502",165000.0,MXN,163507.18,8693.26,48.0,48.0,181.10958333333332,3437.5,,,,http://tlahuac.properati.com.mx/bif0_venta_departamento_tlahuac
sell,apartment,|Benito Juárez|Distrito Federal|México|,,1301031.0,MXN,1289261.35,68546.74,,10.0,,130103.1,,,,http://benito-juarez.properati.com.mx/o65e_venta_departamento_benito-juarez_calle-virginia_4_edmundo-pardavell-juarez
sell,apartment,|Azcapotzalco|Distrito Federal|México|,"19.484703,-99.211365",1343818.0,MXN,1331661.36,70801.04,,80.0,,16797.725,,,,http://san-pedro-xalpa.properati.com.mx/pd15_venta_departamento_san-pedro-xalpa_calzada-san-isidro_630_claudia-salinas
sell,apartment,|Benito Juárez|Distrito Federal|México|,"19.403504,-99.154502",1371333.0,MXN,1358927.47,72250.71,,60.0,,22855.55,,,,http://benito-juarez.properati.com.mx/lizf_venta_departamento_benito-juarez_11-de-abril_0_jesus-cid-del-prado
sell,house,|Coyoacán|Distrito Federal|México|,"19.341471,-99.174675",16115000.0,MXN,15969219.24,849042.68,,460.0,,35032.608695652176,,,,http://romero-de-terreros.properati.com.mx/jdkh_venta_casa_romero-de-terreros
sell,apartment,|Solidaridad|Quintana Roo|México|,"20.6135585111,-87.0897331252",155000.0,USD,2915317.5,155000.0,106.0,106.0,1462.2641509433963,1462.2641509433963,,,,http://playa-del-carmen.properati.com.mx/gojl_venta_departamento_playa-del-carmen
sell,apartment,|Benito Juárez|Quintana Roo|México|,"21.129547,-86.817017",2800000.0,MXN,2775328.27,147557.13,125.0,125.0,1180.45704,22400.0,,,,http://cancun.properati.com.mx/nfn9_venta_departamento_cancun_century-21-caribbean-paradise
sell,apartment,|Solidaridad|Quintana Roo|México|,"20.631489,-87.066256",225000.0,USD,4231912.5,225000.0,,45.0,,5000.0,,,,http://solidaridad-quintana-roo.properati.com.mx/qywa_venta_departamento_solidaridad_calle-28_david-selva
sell,apartment,|Miguel Hidalgo|Distrito Federal|México|,"19.434723,-99.175887",2501000.0,MXN,2478375.16,131768.89,,87.0,,28747.126436781607,,,,http://veronica-anzures.properati.com.mx/py96_venta_departamento_veronica-anzures_bahia-de-chachalacas_78_jose-camacho
sell,house,|La Magdalena Contreras|Distrito Federal|México|,"19.3189618,-99.2266013",10500000.0,MXN,10407481.65,553339.27,550.0,200.0,1006.0714,52500.0,,,,http://san-jeronimo-aculco-la-magdalena-contreras.properati.com.mx/pyx3_venta_casa_san-jeronimo-aculco_inmobiliaria-arsa
sell,apartment,|Benito Juárez|Distrito Federal|México|,"19.364993,-99.155739",1300000.0,MXN,1288239.68,68492.42,,70.0,,18571.42857142857,,,,http://benito-juarez.properati.com.mx/pf1y_venta_departamento_benito-juarez_republicas_220_juan-carlos-monter
sell,apartment,|Miguel Hidalgo|Distrito Federal|México|,"19.452419,-99.175058",980000.0,MXN,971134.57,51632.75,,90.0,,10888.888888888889,,,,http://popotla.properati.com.mx/ptpz_venta_departamento_popotla_calzada-mexico-tacuba_362_ivan-andres
sell,house,|Tlalpan|Distrito Federal|México|,"19.3103229,-99.2216829",16500000.0,MXN,16354613.87,869533.13,294.0,349.0,2957.595680272109,47277.93696275072,3.0,,,http://tlalpan.properati.com.mx/le2w_venta_casa_tlalpan_mega-soluciones
sell,house,|Gustavo A. Madero|Distrito Federal|México|,"19.492765,-99.143326",10950000.0,MXN,10853516.58,577053.81,,800.0,,13687.5,,,,http://san-bartolo-atepehuacan.properati.com.mx/qwml_venta_casa_san-bartolo-atepehuacan_av-montevideo_0_alberto-carrillo-mendez
sell,apartment,|Miguel Hidalgo|Distrito Federal|México|,"19.4523059421,-99.2074569315",750000.0,MXN,743215.24,39514.86,14.0,,2822.49,,,2.0,,http://mexico-nuevo.properati.com.mx/ocde_venta_departamento_mexico-nuevo_portafolios-hipotecarios_7if
sell,house,|Álvaro Obregón|Distrito Federal|México|,"19.327168,-99.224525",4828000.0,MXN,4784324.53,254370.34,,120.0,,40233.333333333336,,,,http://alvaro-obregon.properati.com.mx/pftv_venta_casa_alvaro-obregon_antonio-pedro
sell,house,|Benito Juárez|Quintana Roo|México|,"21.0983813,-86.867206",5084000.0,MXN,5039203.41,267921.6,220.0,330.0,1217.8254545454545,15406.060606060606,,,,http://cancun.properati.com.mx/o4rn_venta_casa_cancun_caribbean-realtors
sell,apartment,|Cuauhtémoc|Distrito Federal|México|,"19.4286373,-99.1718116",6300000.0,MXN,6243008.35,331924.84,100.0,,3319.2484000000004,,,2.0,,http://cuauhtemoc.properati.com.mx/rdw1_venta_departamento_cuauhtemoc_rio-nilo_dueno-directo_eyz
sell,house,|Venustiano Carranza|Distrito Federal|México|,"19.423202,-99.110099",2792000.0,MXN,2766742.76,147100.66,,342.0,,8163.74269005848,,,,http://venustiano-carranza.properati.com.mx/p6ow_venta_casa_venustiano-carranza_dr-nicolas-leon_0_javier-perez-rodriguez
sell,apartment,|Iztapalapa|Distrito Federal|México|,"19.293533728,-99.0655392408",580000.0,MXN,574753.15,30558.16,57.0,,536.1080701754386,,,,,http://san-nicolas-tolentino.properati.com.mx/pkdn_venta_departamento_san-nicolas-tolentino_portafolios-hipotecarios_7if
sell,apartment,|Álvaro Obregón|Distrito Federal|México|,,4609900.0,MXN,4568197.57,242879.42,,130.0,,35460.769230769234,,,,http://san-jeronimo-aculco.properati.com.mx/oaes_venta_departamento_san-jeronimo-aculco_inventario-inmobiliario-6
sell,house,|Tabasco|Zacatecas|México|,"23.634501,-102.552788",800000.0,MXN,792762.85,42149.18,,160.0,,5000.0,,,,http://tabasco-zacatecas.properati.com.mx/qum3_venta_casa_tabasco_principal_casas-sur
sell,apartment,|Gustavo A. Madero|Distrito Federal|México|,"19.498669,-99.130899",3000000.0,MXN,2972861.16,158059.45,,120.0,,25000.0,,,,http://gustavo-a-madero.properati.com.mx/q8it_venta_departamento_gustavo-a-madero_pujato_31_dcamaass-torres-aranalde
sell,apartment,|Iztapalapa|Distrito Federal|México|,"19.3501445,-99.0867308",580000.0,MXN,574889.32,30565.4,48.0,44.0,636.7791666666667,13181.818181818182,,,,http://iztapalapa.properati.com.mx/p4ab_venta_departamento_iztapalapa_vanguardia-negocios-inmobiliarios
sell,apartment,|Venustiano Carranza|Distrito Federal|México|,"19.409843,-99.125509",464262.0,MXN,460062.11,24460.33,,60.0,,7737.7,,,,http://venustiano-carranza.properati.com.mx/pve4_venta_departamento_venustiano-carranza_rosario-castellanos_561_jose-miguel-diaz
sell,house,|Solidaridad|Quintana Roo|México|,"20.6765734711,-87.0439176876",3750000.0,MXN,3716076.4,197574.31,438.0,279.0,451.08289954337897,13440.860215053764,2.0,,,http://playa-del-carmen.properati.com.mx/b9ww_venta_casa_playa-del-carmen
sell,apartment,|Cuauhtémoc|Distrito Federal|México|,"19.428767,-99.1459",1075978.0,MXN,1066497.24,56702.94,,75.0,,14346.373333333331,,,,http://cuauhtemoc.properati.com.mx/r49a_venta_departamento_cuauhtemoc_luis-moya_99_patricia-macias
sell,apartment,|Álvaro Obregón|Distrito Federal|México|,"19.382986,-99.241837",3420000.0,MXN,3389865.35,180230.5,,150.0,,22800.0,,,,http://santa-fe.properati.com.mx/qxh6_venta_departamento_santa-fe_guillermo-gonzalez-camarena_1_remate-bancario_e2b
sell,house,|Solidaridad|Quintana Roo|México|,"20.617742587,-87.0856618881",899000.0,USD,16908841.5,899000.0,750.0,420.0,1198.6666666666667,2140.4761904761904,2.0,,,http://playa-del-carmen.properati.com.mx/kq84_venta_casa_playa-del-carmen_york-properties_60r
sell,house,|Cuajimalpa de Morelos|Distrito Federal|México|,,11000000.0,MXN,10903075.85,579688.75,500.0,400.0,1159.3775,27500.0,3.0,,,http://cuajimalpa-de-morelos.properati.com.mx/ca5i_venta_casa_cuajimalpa
sell,apartment,|Benito Juárez|Distrito Federal|México|,"19.403334,-99.157755",2500000.0,MXN,2477384.14,131716.2,,129.0,,19379.84496124031,,,,http://benito-juarez.properati.com.mx/qb66_venta_departamento_benito-juarez_j-enrique-pestalozzi_0_federico-arturo
sell,house,|Miguel Hidalgo|Distrito Federal|México|,"19.401079,-99.24807",790000.0,USD,14858715.0,790000.0,545.0,350.0,1449.5412844036698,2257.1428571428573,2.0,,,http://miguel-hidalgo-df.properati.com.mx/g7g6_venta_casa_miguel-hidalgo
sell,apartment,|Solidaridad|Quintana Roo|México|,"20.6181844193,-87.0913910866",139000.0,USD,2614381.5,139000.0,0.0,73.0,,1904.109589041096,,,,http://playa-del-carmen.properati.com.mx/bten_venta_departamento_playa-del-carmen
sell,apartment,|Coyoacán|Distrito Federal|México|,"19.358025,-99.170291",5000000.0,MXN,4954768.48,263432.41,,120.0,,41666.66666666666,,,,http://coyoacan.properati.com.mx/p8qr_venta_departamento_coyoacan_josefa-ortiz_2_dcamaass-torres-aranalde
sell,apartment,|Coyoacán|Distrito Federal|México|,"19.350054,-99.123476",1500000.0,MXN,1486430.48,79029.72,,102.0,,14705.882352941177,,,,http://paseos-de-taxquena.properati.com.mx/pyde_venta_departamento_paseos-de-taxquena_paseos-del-rio_66_juan-carlos-monter
sell,house,|Tlalpan|Distrito Federal|México|,"19.2893496,-99.1853408",7000000.0,MXN,6936675.98,368805.38,280.0,320.0,1317.1620714285714,21875.0,,,,http://tlalpan.properati.com.mx/mg2k_venta_casa_tlalpan_capis-real-estate_clg
