operation,property_type,place_with_parent_names,lat-lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url
sell,apartment,|Benito Juárez|Distrito Federal|México|,"19.400623,-99.14173",1440000.0,MXN,1426973.24,75868.53,,70.0,,20571.42857142857,,,,http://benito-juarez.properati.com.mx/o172_venta_departamento_benito-juarez_segovia_74_jose-camacho
sell,apartment,|Cuauhtémoc|Distrito Federal|México|,"19.427607,-99.160835",4026085.0,MXN,3989663.91,212120.26,0.0,47.0,,85661.3829787234,,,,http://cuauhtemoc.properati.com.mx/k7bq_venta_departamento_cuauhtemoc_next-home
sell,apartment,|Álvaro Obregón|Distrito Federal|México|,"19.386852,-99.194748",1980000.0,MXN,1962088.23,104319.23,,65.0,,30461.53846153846,,,,http://carola.properati.com.mx/oc7d_venta_departamento_carola_inventario-inmobiliario-8
sell,apartment,|Iztacalco|Distrito Federal|México|,"19.399108,-99.115621",1180076.0,MXN,1169677.85,62188.79,,90.0,,13111.955555555556,,,,http://santa-anita.properati.com.mx/qx9v_venta_departamento_santa-anita_av-coyuya_359_luis-munoz_elj
sell,apartment,|Iztapalapa|Distrito Federal|México|,"19.317698,-99.061256",850000.0,MXN,842310.64,44783.51,,50.0,,17000.0,,,,http://lomas-de-san-lorenzo.properati.com.mx/pifa_venta_departamento_lomas-de-san-lorenzo_inventario-inmobiliario-6
sell,apartment,|Miguel Hidalgo|Distrito Federal|México|,"19.4375378206,-99.1721409559",2338000.0,MXN,2317399.23,123210.21,44.0,44.0,2800.2320454545456,53136.36363636364,,,,http://miguel-hidalgo-df.properati.com.mx/qu4h_venta_departamento_miguel-hidalgo_quality-map
sell,apartment,|Solidaridad|Quintana Roo|México|,"20.6325179952,-87.0732887503",305500.0,USD,5745996.75,305500.0,122.0,87.0,2504.098360655738,3511.4942528735637,,,,http://playa-del-carmen.properati.com.mx/ln5h_venta_departamento_playa-del-carmen_jpm-realestate
sell,apartment,|Coyoacán|Distrito Federal|México|,"19.321198,-99.103194",1015000.0,MXN,1006056.5,53489.46,,74.0,,13716.216216216217,,,,http://coyoacan.properati.com.mx/r43x_venta_departamento_coyoacan_calzada-de-la-virgen_3000_gustavo-eduardo-aguilar-jimenez
sell,apartment,|Miguel Hidalgo|Distrito Federal|México|,"19.4425711213,-99.2028173804",12389930.0,MXN,12277847.23,652781.84,393.0,,1661.022493638677,,,,,http://polanco-miguel-hidalgo.properati.com.mx/psjk_venta_departamento_polanco_ampsa-bienes-raices
sell,apartment,|Cuauhtémoc|Distrito Federal|México|,"19.427607,-99.160835",952000.0,MXN,943387.9,50157.53,,60.0,,15866.666666666666,,,,http://cuauhtemoc.properati.com.mx/o96h_venta_departamento_cuauhtemoc_irma-gomez
sell,apartment,|Miguel Hidalgo|Distrito Federal|México|,"19.4557682512,-99.2047137022",800000.0,MXN,792762.85,42149.18,59.0,59.0,714.3928813559322,13559.322033898305,,,,http://miguel-hidalgo-df.properati.com.mx/b72n_venta_departamento_miguel-hidalgo
sell,store,|Cuauhtémoc|Distrito Federal|México|,,7924400.0,MXN,7854575.93,417607.78,710.0,710.0,588.179971830986,11161.12676056338,,,,http://cuauhtemoc.properati.com.mx/c8eq_venta_local_cuauhtemoc
sell,house,|Iztapalapa|Distrito Federal|México|,,550000.0,MXN,545153.65,28984.43,35.0,56.0,828.1265714285714,9821.42857142857,,,,http://iztapalapa.properati.com.mx/hq7w_venta_casa_iztapalapa
sell,apartment,|Miguel Hidalgo|Distrito Federal|México|,"19.402944,-99.199727",1163600.0,MXN,1153073.71,61305.99,,70.0,,16622.85714285714,,,,http://daniel-garza.properati.com.mx/qckl_venta_departamento_daniel-garza_gral-jose-maria-mendivil_13_santiago-luna
sell,apartment,|Benito Juárez|Distrito Federal|México|,"23.634501,-102.552788",3850000.0,MXN,3815171.81,202842.96,,80.0,,48125.0,,,,http://benito-juarez.properati.com.mx/oh00_venta_departamento_benito-juarez_avenida-cuauhtemoc-letran-valle_1142_hmgroup
sell,apartment,|Cuauhtémoc|Distrito Federal|México|,"19.450028,-99.163061",370000.0,MXN,366652.71,19493.99,,60.0,,6166.666666666667,,,,http://cuauhtemoc.properati.com.mx/pxyi_venta_departamento_cuauhtemoc_salvador-diaz-miron_219_lidia-martinez-jimenez_6p2
sell,apartment,|Benito Juárez|Distrito Federal|México|,"19.3867842,-99.1771664",5456844.0,MXN,5408762.22,287570.1,99.0,99.0,2904.7484848484846,55119.63636363636,,,,http://benito-juarez.properati.com.mx/p3zx_venta_departamento_benito-juarez_quality-bicofi
sell,apartment,|Cuajimalpa de Morelos|Distrito Federal|México|,"19.390415,-99.254997",10200000.0,MXN,10107727.96,537402.13,,200.0,,51000.0,,,,http://bosques-de-las-lomas.properati.com.mx/j08f_venta_departamento_bosques-de-las-lomas_antiguo-camino-a-tecamachalco_0
sell,house,|Miguel Hidalgo|Distrito Federal|México|,"19.401079,-99.24807",1800000.0,USD,33855300.0,1800000.0,1225.0,1800.0,1469.3877551020407,1000.0,,,,http://miguel-hidalgo-df.properati.com.mx/bke2_venta_casa_miguel-hidalgo
sell,apartment,|Coyoacán|Distrito Federal|México|,"19.305561,-99.171219",3188000.0,MXN,3159160.48,167964.51,,83.0,,38409.63855421687,,,,http://olimpica.properati.com.mx/oxeo_venta_departamento_olimpica_inventario-inmobiliario-8
sell,apartment,|Azcapotzalco|Distrito Federal|México|,"19.480205,-99.17624",1160000.0,MXN,1149506.3,61116.32,,55.0,,21090.90909090909,,,,http://azcapotzalco.properati.com.mx/mqtb_venta_departamento_azcapotzalco_privada-de-san-sebastian_24_david-a-ortiz
sell,apartment,|Benito Juárez|Distrito Federal|México|,"19.380937,-99.179545",3160000.0,MXN,3131413.62,166489.28,,70.0,,45142.857142857145,,,,http://benito-juarez.properati.com.mx/pdeh_venta_departamento_benito-juarez_baltimore_76_jorge-ramirez-linares
sell,apartment,|Benito Juárez|Quintana Roo|México|,"21.1107574375,-86.8535242075",3684600.0,MXN,3652133.9,194174.65,0.0,165.0,,22330.90909090909,,,,http://cancun.properati.com.mx/pz10_venta_departamento_cancun_jpm-realestate
sell,apartment,|Benito Juárez|Quintana Roo|México|,"21.129547,-86.817017",3850000.0,MXN,3815171.81,202842.96,3142.0,224.0,64.55854869509866,17187.5,,,,http://cancun.properati.com.mx/b9h8_venta_departamento_cancun
sell,house,|Coyoacán|Distrito Federal|México|,"19.357891,-99.126109",1360000.0,MXN,1348016.66,71670.61,,158.0,,8607.594936708861,,,,http://prado-churubusco.properati.com.mx/rao7_venta_casa_prado-churubusco_orion_0_edith
sell,house,|Miguel Hidalgo|Distrito Federal|México|,"19.433274,-99.210758",4398100.0,MXN,4358313.51,231720.42,,304.0,,14467.434210526317,,,,http://reforma-social.properati.com.mx/omlf_venta_casa_reforma-social_ave-tecamachalco_10_virginia-reyes
sell,apartment,|Benito Juárez|Distrito Federal|México|,"19.3668017,-99.1724994",3685600.0,MXN,3652258.98,194181.3,92.0,,2110.666304347826,,,,,http://benito-juarez.properati.com.mx/r7p8_venta_departamento_benito-juarez_marei-bienes-raices
